top - 03:19:24 up 18 days,  6:33,  3 users,  load average: 0.23, 0.15, 0.11
Tasks: 153 total, 1 running, 150 sleep, 1 d-sleep, 0 stopped, 1 zombie
%Cpu(s):  5.0 us,  2.5 sy,  0.0 ni, 72.5 id, 15.0 wa,  5.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3771.3 total,    675.9 free,    699.2 used,   2676.8 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.   3072.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  88778 georgii   20   0    2544   1280   1280 D  28.4   0.0   0:00.06 ema-sor+
      1 root      20   0   21792  13304   9496 S   0.0   0.3   0:19.23 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.11 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.58 ksoftir+
     18 root      -2   0       0      0      0 I   0.0   0.0   1:06.39 rcu_pre+
     19 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 rcub/0
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.04 rcu_exp+
     22 root      rt   0       0      0      0 S   0.0   0.0   0:01.65 migrati+
     23 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:01.77 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:02.96 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
